train_end_time_idx,mean_rmsse,weighted_rmsse,num_series_scored
231,0.7742846845594171,0.7402937438238595,500
235,0.7222673394044982,0.6796043988276568,500
239,0.714682088201916,0.6597602188429649,500
243,0.6120745925435938,0.6178856836847649,500
247,0.6594396755476173,0.6414669794433044,500
251,0.7693189723676959,0.7743906293158379,500
255,0.6862843151572571,0.6619617078177392,500
259,0.7079496459743292,0.670297817254612,500
263,0.6411453779949352,0.6109447612886474,500
267,0.6367211258820199,0.6046931039979676,500
