series_id,baseline_rmsse,global_rmsse,tft_rmsse,tft_vs_global_gain,best_model,tft_beats_global
FOODS_1_004_CA_1,1.5183759054752766,0.6795079065925987,0.6860813630840901,-0.006573456491491325,Global,False
FOODS_1_004_CA_3,1.6542243981285427,0.6291008911576744,0.39674342189625034,0.2323574692614241,TFT,True
FOODS_1_004_WI_2,1.417433368110108,0.6175353236693931,0.9370041192785769,-0.31946879560918373,Global,False
FOODS_1_012_CA_2,1.6952318540335634,1.175226224935027,1.0201919556919687,0.1550342692430582,TFT,True
FOODS_1_018_CA_1,1.1555045313189685,0.7396112035023819,0.887485860104211,-0.1478746566018292,Global,False
FOODS_1_018_CA_3,1.3163426804595797,1.1220352372219573,1.4003910556805805,-0.2783558184586232,Global,False
FOODS_1_018_WI_2,1.4060291945392167,0.8806764987644234,1.099157001474984,-0.21848050271056063,Global,False
FOODS_1_043_CA_3,1.333685526650276,0.5527568546162265,0.5256108370394589,0.0271460175767676,TFT,True
FOODS_1_046_TX_2,1.437730432194623,0.3696375593742014,0.3877512449741204,-0.018113685599918994,Global,False
FOODS_1_082_WI_2,3.853818079194614,0.9074292755509118,1.0802363624683886,-0.17280708691747682,Global,False
FOODS_1_085_CA_1,0.918941206246165,0.5907738517174124,0.6051070773726547,-0.01433322565524231,Global,False
FOODS_1_085_WI_1,1.1724449725561117,0.8132220880892339,0.9105770390936891,-0.09735495100445524,Global,False
FOODS_1_085_WI_2,1.2782312927898225,0.6325179260926832,0.6972123362392694,-0.06469441014658617,Global,False
FOODS_1_096_TX_3,3.567682511238764,1.41440029973853,1.893193825279257,-0.47879352554072696,Global,False
FOODS_1_096_WI_2,4.0572966288188095,1.686621084137692,2.097069957647163,-0.4104488735094711,Global,False
FOODS_1_161_CA_1,1.0113165156932642,0.7461730186572867,0.806397814579444,-0.06022479592215735,Global,False
FOODS_1_204_WI_2,2.5563803192836128,0.9361688691089168,1.0971306390719753,-0.16096176996305844,Global,False
FOODS_1_218_CA_1,1.1907711503552558,0.5976992879735303,0.48692753237237446,0.11077175560115587,TFT,True
FOODS_1_218_CA_2,1.3488435830680805,0.6935109424121177,0.6000174792118871,0.09349346320023066,TFT,True
FOODS_1_218_CA_3,1.4388077691753547,0.768128123322157,0.8889669718611586,-0.12083884853900162,Global,False
FOODS_1_218_TX_1,1.5387189505277152,0.808774149869367,0.9983575462819487,-0.1895833964125817,Global,False
FOODS_1_218_TX_2,1.6991965567184983,0.6165357514442753,0.4772833039929476,0.1392524474513277,TFT,True
FOODS_1_218_TX_3,1.3817446177505814,0.6214495888535234,0.573693332568889,0.047756256284634424,TFT,True
FOODS_1_218_WI_2,1.786491836997524,0.5485004433840385,0.6218229190063108,-0.07332247562227234,Global,False
FOODS_1_218_WI_3,1.6416364523071398,0.935024414352492,0.9663318041007889,-0.03130738974829694,Global,False
FOODS_2_016_WI_2,1.2419564737106217,0.7626018871069847,0.8815084177502841,-0.11890653064329937,Global,False
FOODS_2_019_CA_1,0.7631942849679545,0.3519781581671716,0.3039941760184924,0.047983982148679216,TFT,True
FOODS_2_019_CA_3,0.8109397872423377,0.3630571349619677,0.39313785398306883,-0.030080719021101154,Global,False
FOODS_2_021_CA_3,0.9766597778351036,0.3894713114387292,0.4204164659428827,-0.03094515450415347,Global,False
FOODS_2_021_WI_2,1.315183927914784,0.5147563581780041,0.46189138665328633,0.05286497152471781,TFT,True
FOODS_2_021_WI_3,0.9558304442003052,0.3065873683470276,0.3711654492434474,-0.06457808089641981,Global,False
FOODS_2_128_CA_3,0.94015860470972,0.4648170859714738,0.5402723665706759,-0.07545528059920209,Global,False
FOODS_2_128_TX_2,1.1078591805126985,0.2350056376497106,0.2714943405947439,-0.03648870294503331,Global,False
FOODS_2_128_TX_3,1.173543653351891,0.369167910795014,0.4389656216788217,-0.0697977108838077,Global,False
FOODS_2_128_WI_2,1.3619495828707646,0.8724412155351313,0.5305091691950272,0.3419320463401041,TFT,True
FOODS_2_128_WI_3,1.0013443897168974,0.3095358287220405,0.3703147881308933,-0.060778959408852806,Global,False
FOODS_2_181_CA_3,1.025437735058937,0.5991735228348594,0.5848518498154441,0.014321673019415226,TFT,True
FOODS_2_181_TX_1,1.0532477685912918,1.0577106672096697,1.4186041562466563,-0.3608934890369866,Baseline,False
FOODS_2_181_TX_2,1.0164541016440742,0.8241820539126812,0.8177381445625709,0.0064439093501102995,TFT,True
FOODS_2_181_TX_3,0.8856770867618787,0.39578849434877,0.44614765501522824,-0.050359160666458236,Global,False
FOODS_2_197_CA_1,0.8043474157534674,0.3296207802624395,0.34923181450381235,-0.019611034241372838,Global,False
FOODS_2_197_CA_3,0.8881849027248518,0.3093985811326504,0.38323956129473313,-0.07384098016208274,Global,False
FOODS_2_244_CA_1,1.072726078014868,0.3565072458782727,0.43475670079742496,-0.07824945491915225,Global,False
FOODS_2_244_CA_3,1.0556656625337095,0.3260181829145512,0.4054329335175745,-0.07941475060302328,Global,False
FOODS_2_276_CA_1,0.9153839150151848,0.3627276192472796,0.39880592305912405,-0.03607830381184446,Global,False
FOODS_2_276_CA_3,0.9201619369847552,0.2922002310696513,0.2966452362802639,-0.004445005210612585,Global,False
FOODS_2_276_TX_3,1.0141633759301047,0.3783159964291732,0.44292648919421956,-0.06461049276504638,Global,False
FOODS_2_326_CA_3,2.0324556729234327,1.11568968936924,1.1773288100605632,-0.06163912069132316,Global,False
FOODS_2_326_TX_1,1.4643683679996151,0.8918775534738334,0.9642549491374707,-0.07237739566363732,Global,False
